city, ccnumber, name, publish_date
Seafdo,3528320821312369,Johanna Reese,08/21/2013
Zubnema,4603123057238829,Esther Quinn,12/07/1940
Satiah,6265678032317760,Mathilda Rowe,05/06/1942
Izizaik,4026231782671666,Adele Olson,01/01/1913
Sipbebja,4903518254094692,Jordan Burton,10/11/1973
Zelowves,3528950887031147,Sara Newton,03/09/1969
Jejmavus,5018137632832514,Stephen Hill,08/26/2033
Etonure,6011570254129378,Dora Casey,10/26/2039
Deojcez,4903446728872099,Todd Potter,04/09/2066
Rubiwas,3528286095774164,Alma Sims,06/20/2001
Rielonuw,6334409677991546,Phoebe Mann,05/23/1923
Oszobe,6304944086239638,Isaiah Jordan,03/09/2043
Wonhotef,4026458897483808,Harriett Fuller,07/11/1914
Rupowvi,5148863291591181,Gertrude Reed,12/17/1966
Taatefo,3528698108007459,Brent Conner,01/03/2006
Doecgo,6304697647762346,Christopher Jensen,05/10/2068
Comkobi,4026012421006138,Cornelia Bradley,11/07/1978
Ecepejruh,5488434271599954,Gordon Nichols,05/31/1978
Bomarew,5610137584261524,Scott Hernandez,12/26/2017
Domaroul,3528712152360936,Miguel Bryan,09/09/2009
Hahziviw,6334356692976566,Kathryn Nichols,06/11/1956
Hugedsi,5134354346469405,Vera Walters,03/17/1901
Kiloero,6011013052537229,Georgia Sharp,08/30/2056
Jedgicu,5405326162428956,Nelle Reynolds,05/12/2060
Zesdorcu,349258594307302,Kyle Moreno,06/10/2015
Maelve,4903752835208485,Austin Arnold,02/23/1922
Silbuzeko,4026009570609209,Lou Flores,02/23/2005
Fuzsunugi,30062879544728,Georgia Morgan,11/26/2033
Cisimte,6304008303070570,Hester Gardner,03/15/2005
Dabwowoh,4026463195876745,Bobby Higgins,09/17/1910
Subpaco,36292483928868,Wesley Adams,02/19/1961
Abuzakar,5018446694289277,Arthur Jefferson,01/22/1957
Tazsicu,344646227097875,Maude Gibson,02/13/1976
Temuzof,5610534040502303,Irene Chavez,09/27/1994
Afpune,4726970307599398,Duane Cortez,10/23/2006
Hogrinto,6377075562390439,Mittie Taylor,04/26/1924
Pedmiwca,346676827998196,Steve Kim,01/31/1915
Babascuc,3528552528860650,Clyde Mendez,02/18/2065
Iclata,3528307568134890,Adam Newman,06/26/2021
Miwuec,36118292912613,Nettie Hawkins,08/20/1966
Azifidah,6304640042791312,Wesley Norton,10/17/1993
Pigahutas,5492290949662523,Luke Townsend,04/03/2035
Guwozaf,201419822787098,Earl Young,02/10/1941
Kawenvo,5018886135051861,Ethel Miles,02/16/2053
Wutemume,4903688269426328,Joshua Morrison,02/22/1900
Dobikar,6304228927108586,Millie Hicks,05/04/2026
Bijsimi,30044477884482,Larry Medina,05/14/1936
Pesbati,6249837891487715,Georgia Parks,02/26/2042
Zeckinge,5410857428531780,Theresa Guzman,07/01/2041
Refugkob,5610533584169677,Anthony Hopkins,01/25/2049
Ucuvajleb,6373347158394396,Bruce Roberson,02/16/2048
Nehpokuc,4187840576682278,Hannah Luna,04/13/2010
Haciecu,6372470450037157,Florence Porter,03/07/1945
Ebutevi,5467254743010504,Jerome Schultz,07/02/1968
Lelinekel,5116499269494229,Alex Becker,05/18/1974
Ogwukzok,6304822022237801,Janie Allison,05/15/1977
Ivegijoga,30008087117013,Sam Kennedy,07/31/1981
Vetika,36823225755357,Beulah Roberts,01/01/2002
Mimwitva,3528354273221984,Sylvia May,04/03/1916
Bezjawkub,5018230050290321,Jason Burgess,05/16/2060
Unitoppab,5448579533777308,Ernest Owens,12/31/2002
Pogoabe,3528889119522228,Myrtle Maldonado,08/17/1987
Vipikid,6334429130426880,Lula Morrison,03/26/2003
Waksobu,4903144261103713,Jackson Cross,11/05/2043
Opunifwif,5610050974436145,Gussie Knight,10/30/1942
Fugesul,6011434478215374,Bettie Keller,01/16/2022
Racdiptib,4026493288478018,Jean Alvarez,09/30/1903
Rohucmec,6378892294442729,Esther Moss,02/11/2070
Zifolim,4903510220194482,Don Simmons,11/26/2069
Tipurgo,3528328364038069,Nettie Scott,10/29/2015
Dowjuhke,5130215991125531,Hester Phelps,10/06/2021
Tadzimi,5018298411398224,Marc Austin,03/14/2020
Ejiuzmu,5433533980802405,Carrie Pratt,07/05/1914
Bobsopik,4903291124599510,Jeff Brady,02/01/2003
Piamaju,5610500786235770,Vernon Tyler,06/14/1942
Wihnisdi,5610791639530141,Marion King,07/11/2050
Tohcenva,6266777122637019,Alberta Page,06/28/1953
Zefafu,36528466094339,Milton Chapman,06/20/1971
Donwujib,4903630294385152,Mathilda Valdez,10/23/1983
Pofwuruzu,349408161576769,Jeremiah Gordon,06/11/1920
Doklahwar,30087243541365,Mable Duncan,11/20/2032
Sifmobpur,5018580951410513,Kyle Henry,12/14/2036
Fabeel,3528331914429622,Lulu Berry,12/22/2068
Ijudetkiv,36068795816904,Nora Reid,09/01/1906
Calofujo,30002817543754,Bradley Smith,08/21/2070
Pupidom,5147995079510263,Alan Lamb,11/04/1902
Jeduwpec,5018917883211983,Carl Day,12/27/2046
Sacodof,5151638089120136,Fred Nichols,01/29/1929
Lutkazo,3528805740999858,Blake Griffin,04/05/2012
Jofenemu,6304119276169735,Josie Steele,04/06/2034
Zabbembin,30003223420371,Henry Richardson,01/26/2043
Acoujni,4026176799678727,Dylan James,04/05/2005
Vohuli,201442748512499,Henrietta Guzman,10/08/1998
Zodlutvut,5610100358076221,Verna Diaz,09/02/1941
Ovpibwi,6372500845227236,Hettie Cobb,07/01/2012
Mukettud,6238870916391698,Landon Cummings,04/28/2055
Tuvurijuk,36942742104855,Mason Hanson,08/03/2008
Feinufik,201418682920419,Gussie Gardner,08/24/1947
Zihpumri,201499580665199,Ola Alvarez,12/27/1984
Goapohed,4377757341527218,Danny Perry,06/14/2008
Kapvefpu,5110258823939921,Marie Hall,02/24/1914
Gaofpa,5018293774357172,Eric Salazar,10/16/1974
Neskifu,30062339995171,Rosa Mason,06/23/1994
Ziripe,6374651806746595,Brent Beck,11/10/1990
Folpaspe,201455653518038,Elijah Barrett,06/02/2044
Ketafbig,6011683075517133,May Davis,08/25/1992
Dagepupu,5018297350608726,Nathan Maxwell,01/15/2051
Riwiifi,4403536820652665,Leila James,06/05/1914
Bujies,3528743202677185,Erik Santiago,07/22/1966
Kajesri,4832906465214975,Charles Cruz,03/11/2007
Basnoaj,201498216455553,Nell Glover,07/13/2045
Resebew,6304404023583978,Clara Simpson,04/12/2029
Zonlukoci,344837202310454,Luella Palmer,07/25/1971
Ibzoih,6334301763292469,Darrell Salazar,10/12/1988
Orifiwri,348594744214019,Russell Guerrero,06/10/1998
Dafsidjih,3528862815915764,Louis Brady,05/14/1993
Zaduhbe,349001723663066,Randall Guerrero,12/06/1994
Zovutsaz,340964254639525,Carolyn Castillo,02/13/1937
Amemevme,4903660916463657,Augusta Page,09/06/1961
Nubojoz,5128411267801251,Stella Leonard,12/08/1906
Gubaedo,3528536425436987,Jesse Boyd,10/05/2041
Bewobvi,36548244495665,Jennie Moore,05/30/1918
Mosuzecu,6011638625896288,Mabelle Guzman,10/31/1943
Testuctod,5610614446786856,Harry Rodriquez,04/27/2045
Dopejo,6370694203651822,Jackson McKenzie,08/26/1925
Solvoeru,6291027756439798,Nathan Hart,04/16/2047
Nehoku,6373200371382922,Jordan Gardner,02/17/2023
Ipnerhep,6011384832632089,Myra Guerrero,03/19/1950
Pacigjiv,30019052808171,Douglas Spencer,07/24/1929
Pulwusi,5018289232398881,Gussie Higgins,12/09/1940
Veztiezu,5198161375511350,Eddie Miles,03/13/1935
Enojocke,5018112357830217,Lloyd Flores,10/31/1986
Odcakoko,4026227943558966,Matilda White,07/08/2015
Buzeimi,5610481690008134,Samuel Gomez,12/14/2026
Alenopogi,340824287471637,Kenneth Mendoza,05/09/1935
Vurtisu,3528693076550192,Victor Frank,11/11/1934
Weefiek,4903447170110855,Angel Ryan,03/20/2037
Ujtudaj,5018017907565744,Elijah Ford,06/18/1962
Uwoemfam,3528075751785501,Mildred Rios,07/14/1917
Sopozah,5018751597785234,Rosa McDaniel,02/07/1995
Geoslat,4026619423813558,Paul Palmer,01/07/2030
Ivuwofal,6334011785793119,Warren Cohen,11/28/1990
Olulahtiv,30052594767035,Julia Cross,11/16/2061
Ruktite,3528082078116451,Frank Lewis,03/16/1976
Iliufoj,4366126331173487,Jeremiah Bowman,01/24/1992
Ubiasubus,4026646306265085,Lewis Todd,01/29/1933
Jecolkuk,6373874618513356,Jim Estrada,11/03/1931
Jedavbo,6334218983545288,Theodore Jefferson,12/08/1995
Ijawoozu,5018448427545223,Clifford Hammond,01/15/1979
Tadehali,30073692796205,Rosa Richards,09/15/2006
Muudacib,6011403976150581,Wayne Conner,07/11/2040
Kawvaal,346987644526486,Anthony Barrett,02/18/1987
Loises,201405600647109,Julia Castillo,11/27/1974
Pujopol,6011550949160053,Lulu White,06/07/1900
Pucedog,6375305886773305,Carlos Carson,09/15/2068
Igtumir,348596188070658,Abbie Abbott,04/18/2044
Dupeiv,6378201217022032,Milton Martinez,03/26/2042
Kigpokrar,201492121046623,Marcus Woods,05/06/1932
Lufkirke,4026316332154279,Isaiah Foster,05/11/2056
Neegizol,5458173629620007,Timothy Banks,06/20/2060
Temjalo,6334755738004350,Ola Little,11/10/1994
Zekekoz,5401206011933741,Allie Brown,10/15/2016
Pewbeje,6304281240060927,Oscar Clarke,07/10/1908
Buhpigiwo,6371886800878431,Larry Wheeler,12/09/1912
Alebowvo,5610024568832191,Rebecca Green,08/01/2002
Bewuzke,201434233911708,Lulu Saunders,09/05/1906
Uroserlus,5478346383963229,Rodney Olson,10/25/1934
Mudwavo,5436487218452748,Andre Casey,11/14/2029
Somleto,5610937317716623,Nina Nunez,06/13/1968
Hafohiwo,6334728972352256,Douglas Hunt,05/27/1954
Bezjecik,5610807410090152,Charlotte Summers,10/18/1915
Padbuvmep,4026522414120019,Rena Copeland,12/24/1900
Gikahu,5197794851050625,Cameron Maxwell,05/09/1965
Verzibjim,6292631827225745,Sarah Webster,11/09/1977
Esmojfen,201490849135140,Julia Nash,03/07/1975
Nulsigo,36904900678039,Carrie Lawson,04/24/2045
Gudcuulu,4534394962192088,Louise Alvarado,04/14/2051
Cefhunbiv,5018611671508342,Alta Jimenez,05/07/2063
Oveziva,30032056569137,Olive McKinney,12/21/1962
Ifvabuca,36672584460020,Billy Barnett,01/12/1917
Dejzacoz,4903399940940402,Lawrence Flowers,05/04/2040
Zuribmi,4026625692563196,Hattie Maxwell,07/06/1917
Dakunac,4026333483266372,Pearl Norman,08/14/2067
Uphesi,5159520423916167,Virgie Caldwell,04/16/2041
Egmozin,5610628609231112,Dean Ferguson,12/27/1926
Zogedgo,36133976223823,Dylan Rodriquez,06/13/2051
Humponma,6334270576078094,Loretta Welch,09/10/1907
Zanavmi,6334234017777821,Lulu Henderson,06/20/1910
Ugulubuh,5411203570383838,Erik Edwards,07/17/1992
Jifjioho,5018548067036811,Scott Webster,09/02/2019
Suwvuse,5432188010726511,Emilie Sims,03/26/2058
Jisbuen,3528253910042581,Adrian Freeman,08/02/2054
Suzzise,6372973095912544,Carrie Todd,04/09/1931
Amugamri,5145580407679642,Augusta Cook,04/25/1993
Wulanhe,30007382607744,Adrian Peterson,04/26/1989
Ciktohzat,36036704162918,Ada Mack,08/09/2024
Tonopogi,6246170371184203,Myra Hunt,05/10/2068
Vuhosevak,4903783252453056,Louis Wong,12/14/1930
Pasete,201456482222917,Corey Cobb,10/23/2007
Nufobniz,4903465040487907,Sadie Townsend,03/14/1925
Esotelo,6304933272632441,Lina Ryan,06/24/1902
Gewagum,6334707625900455,Norman Hammond,09/23/2041
Moddarbak,6334233010236397,Lee Martin,07/28/1959
Corwaimu,6334426018799370,Abbie Griffin,06/09/1945
Simjerud,5470818126473235,Duane Andrews,11/06/1970
Ehorofi,5119394965808177,Christina Gilbert,04/30/2000
Kavizez,5610048441674603,Marie Gonzalez,05/15/1958
Elsausi,5189788246443412,Delia Baker,01/09/1937
Buvimfok,4903327779937215,Christina Hernandez,01/30/1957
Cupehuki,6304989161069855,Isabelle Mathis,03/16/1948
Pidjera,5110818250926327,Edna Hunt,04/19/2026
Ufiecari,342761901141279,Sophia Harvey,12/13/1995
Zocabfef,6011242993298357,Emma Hoffman,05/22/1989
Itoleti,4026767586247153,Nathaniel Reeves,03/21/1950
Ujcueli,348837160594137,Hallie Welch,02/08/1949
Ucupitun,6334056854591324,Eleanor Davis,05/18/1901
Voromu,5018662739975601,Chase Black,08/09/1926
Fonurug,5136475540919826,Laura Freeman,06/20/1985
Wobimna,36038194104962,Blanche Dawson,12/16/1939
Kultegu,6334361513196261,Augusta Howard,05/02/2062
Jukuihi,5473410279345845,Emma Pittman,06/21/2007
Domoli,6266486221360933,Martin Bailey,06/06/1923
Gehefjoh,6213892923043103,Richard Stokes,07/07/1964
Werumbac,6011203457905879,Leon Fowler,10/02/2018
Dilonfo,6370309161692185,Tom Huff,11/27/1938
Losisdi,6011839291385941,Hettie Oliver,12/03/1997
Wohfetwuk,4903453372548694,Emma Day,02/23/1983
Cosdelu,5454333769625943,Chad Cannon,03/09/1963
Rucnomaz,5610965080049633,Angel Osborne,09/20/1964
Rohazole,6011105333182096,Rodney Santos,03/29/2015
Vawewlin,5018596774234633,Peter Marsh,07/11/1921
Wajecdo,6011209722369668,Mable McDaniel,02/02/2023
Zocjial,346216189979466,Olivia Powers,02/20/1979
Bitobuh,201407409682857,Emilie James,04/09/2027
Jeecapas,6220707139361878,Hannah Mathis,03/02/1953
Hazaefo,5018205712331770,Cole Salazar,09/10/1994
Titvufsa,3528979922341781,Wesley Rodriquez,07/01/1917
Cicacfir,5610629176768189,Lucile Poole,02/16/1971
Ukvibwac,6304762806953951,Alexander Sims,03/08/1972
Kutlahes,6011643910185827,Melvin May,01/20/1988
Nocwowen,3528920872389131,Danny May,01/31/1987
Wuwgoemi,346498071322498,Thomas Aguilar,08/01/1913
Tusoro,4244734732212073,Daniel Moreno,05/23/2021
Ziemizi,5194625503552837,Luella Alvarez,10/11/1972
Renduifo,36779019086567,Jordan Blair,08/10/2011
Agukaset,36424576928360,Adam Peters,05/25/1930
Bicinro,6304602999303673,Cora Pearson,01/15/1921
Kuwodafi,4903597102707515,Jack Cortez,10/01/1954
Himbimi,6011688045867690,Mabel Robinson,10/11/1932
Raghonju,201449709483859,Arthur Strickland,07/26/1919
Uvumaca,3528264719334392,Corey Swanson,09/22/2003
Vegimu,5610928432733254,Lina Gibson,09/13/2058
Loarune,201449023891894,Roger Pena,06/12/2029
Ufucij,6370035977818959,Mike Daniels,01/29/1908
Tabipzu,36933438483679,Mike Johnson,06/26/2005
Sovahzaw,5438418849256487,James Goodman,02/25/1969
Ramukenoz,30045499259512,Dean Neal,07/19/1937
Ozvitzo,5411116610242618,Hallie Reyes,02/14/1945
Guvjiwgol,4804613782377121,Rose Jackson,03/19/1992
Bogocho,4626582387331328,Erik Baldwin,01/07/2068
Hoenwi,346033475392951,Luis Moran,01/27/1955
Javigoka,6304206005826329,Alice Parks,03/20/2038
Mubejzim,6304149699299322,Hilda Brock,07/19/1967
Niwouze,4506191369640923,Christian Burke,08/06/1953
Ihivewgu,5018212621158179,Cecilia Williamson,02/04/1992
Isedota,346696941819375,Lillie Vasquez,10/09/2066
Wuwosfi,340573457981905,Johnny Oliver,04/11/2031
Jitugepa,5018288623401866,Vera Fowler,09/11/1918
Vaudgas,4026820450121713,Carlos Diaz,02/26/1986
Pelugto,5610901029554920,Mildred Craig,06/04/1922
Gisgojcih,5610466682624832,Erik Rhodes,09/05/1963
Jugegeid,3528436571472219,Effie Stone,11/19/1954
Hoccilo,4903021357706452,Georgie Norton,04/09/2045
Imkenpuw,36472744059907,Lulu Porter,03/11/1965
Irjabo,4026290672270070,Bessie Roberson,07/05/2052
Fupipmuv,36078800341533,Gabriel Stokes,02/04/1929
Vanetoj,5484263764651608,John Hoffman,05/04/2066
Gaehilap,36937019002444,Janie Bryan,03/14/1946
Kucdefov,6223255263880476,Celia Steele,04/03/1995
Gatlopu,4903683312772091,Landon McCormick,02/04/2023
Kibtijmu,4903018666587573,Katherine Gonzales,12/24/2027
Udeosihor,343110171544177,Landon Logan,05/05/1993
Rormiadi,201403414940828,Vincent Tucker,09/21/2002
Gihtoga,4601143841516134,Arthur Curry,05/10/1918
Ituhuta,6304933727937163,Rosalie Moss,08/06/1994
Ejpokvek,3528631528401960,Alexander Neal,03/16/1987
Zadoor,340473976558229,Trevor George,04/06/2069
Hagzojoze,36955437725461,Dylan Greer,11/14/1947
Ovjenije,345515033158974,Patrick Diaz,09/24/2009
Weocusol,5419663858472342,Warren Keller,08/16/1905
Rahobi,201419830843750,Mabelle Castillo,06/21/2059
Butikun,5610840106375330,Vera Lowe,02/22/1983
Olkihof,30045500930390,Mildred Miller,01/01/2013
Mikivo,6228883350807220,Maurice Fitzgerald,09/17/2065
Rusjiwso,4783528302029793,Minerva Sutton,03/10/1929
Uhsevo,201414462929605,Essie Christensen,12/26/2007
Gojogu,5018906408852660,Jeremy Washington,08/12/1977
Nuodeso,6377956360842301,Stella Terry,11/19/1924
Nevnawaz,4026669089171577,Louisa Parsons,06/27/1991
Unehovi,201450790361228,Craig West,08/18/1980
Tagasuf,349114144629473,Bessie Rodriguez,08/16/1957
Jisuhfap,6304328550669597,Miguel Wilkerson,08/25/2043
Fonibegu,36060910226218,Tony Ball,01/19/2048
Wivajaf,5110648569856539,Elva Carter,12/28/2029
Cajimecub,6304573732704719,Ruth Christensen,10/12/2056
Vetfeppa,6304917230386893,Cynthia Bell,01/26/2040
Locisjih,5424153841874351,Olive Waters,02/12/2047
Pithommek,5145215009490805,Warren Moran,11/16/1906
Cembamic,6304861543085356,Edward Delgado,11/21/2014
Tubociwo,36030588215785,Carolyn Davis,07/10/2070
Vovhiugo,6334049535315684,Elva Rios,02/12/1965
Awgenaf,5173318575552779,Gordon Clarke,06/15/1955
Ejtamhi,5610639879217129,Frederick Mills,06/09/2006
Moziot,5018597827982368,Dennis Gibson,12/14/1903
Gigawa,3528375880654986,Blake Lawrence,02/12/2066
Pobudte,4489327852196368,Chester Fox,01/27/1923
Fagilok,4381312740228622,Emma Miles,10/06/2041
Bunsizru,6304738846599855,Dustin Gill,04/17/2065
Uwciise,4940387481655427,Jayden Pearson,03/08/1997
Jukmivviz,4903469063033960,Norman Larson,07/20/1935
Sidpivvak,6273172368671172,Ola Bishop,05/22/2041
Siodza,4026753531950943,Timothy Rowe,09/29/1909
Nerhojjeg,30079604502805,Ruth Abbott,02/11/2068
Hacaspi,201455097190915,Devin Caldwell,03/10/1900
Tebdodot,5610371977606389,Thomas Fletcher,03/16/2037
Saobdo,5423104577462466,Darrell Carson,06/21/2000
Kavito,201441979750505,Winnie Phillips,01/12/1928
Wekipo,6011585004004713,Cornelia Jennings,02/27/2066
Kaviguve,6304436317515738,Olivia Burns,10/31/1937
Joalwik,5610110449518008,Hulda Cain,06/08/2034
Sezombar,3528578157761380,Verna Hopkins,01/02/2068
Zouzocu,4903271979961163,Micheal Kelly,03/01/1988
Jipviir,5140631230151195,Callie Flowers,06/22/1926
Tiawular,349282774965903,Cynthia Vaughn,07/03/2009
Kintuvib,3528118739090188,Ray Hampton,01/18/1998
Rohbispap,6011148260559514,Andre Fisher,07/07/1976
